1	OX 퀴즈	하	예수님은 제자들의 발을 씻기기 전에 먼저 제자들에게 자신의 발을 씻겨달라고 요청하셨다.	X (먼저 씻겨주심)	요 13:4-5
2	초성 퀴즈	중	저녁 잡수시던 자리에서 일어나 겉옷을 벗고 (ㅅㄱ)을 가져다가 허리에 두르시고	수건	요 13:4
3	빈칸 채우기	중	내가 주와 또는 선생이 되어 너희 발을 씻었으니 너희도 서로 ( )을 씻어 주는 것이 옳으니라	발	요 13:14
4	객관식	하	예수님이 제자들의 발을 씻어주신 가장 큰 이유는? 1)청결 2)예의 3)섬김의 본 4)연습	3번	요 13:15
5	객관식	하	마귀가 예수님을 팔려는 생각을 집어넣은 제자의 이름은? 1)베드로 2)안드레 3)가룟 유다 4)빌립	3번	요 13:2
6	주관식	상	식사 중 예수님의 품에 의지하여 누워있을 정도로 사랑받았던 제자는 누구일까요?	요한 (사랑하시는 제자)	요 13:23
7	OX 퀴즈	중	예수님은 가룟 유다가 자신을 배반할 것을 미리 알고 계셨다.	O	요 13:21-26
8	빈칸 채우기	중	( )을 너희에게 주노니 서로 사랑하라 내가 너희를 사랑한 것 같이 너희도 서로 사랑하라	새 계명	요 13:34
9	객관식	중	우리가 서로 사랑하면 세상 사람들이 우리를 무엇이라고 부르게 될까요? 1)천사 2)바보 3)예수의 제자 4)부자	3번	요 13:35
10	주관식	하	베드로는 닭이 울기 전 예수님을 몇 번 모른다고 부인했나요?	세 번	요 13:38
11	초성 퀴즈	중	"너희는 마음에 (ㄱㅅ)하지 말라 하나님을 믿으니 또 나를 믿으라"	근심	요 14:1
12	빈칸 채우기	하	내가 곧 ( ), ( ), ( )이니 나로 말미암지 않고는 아버지께로 올 자가 없느니라	길, 진리, 생명	요 14:6
13	OX 퀴즈	하	빌립이 아버지를 보여달라고 했을 때, 예수님은 "나를 본 자는 아버지를 보았다"고 하셨다.	O	요 14:9
14	주관식	중	예수님의 이름으로 무엇이든 구하면 예수님이 행하신다고 하셨는데, 이 '구하는 행위'를 두 글자로?	기도	요 14:13-14
15	주관식	상	예수님이 우리와 영원히 함께하도록 보내주신 '돕는 자'라는 뜻의 성령님 명칭은?	보혜사	요 14:16
16	객관식	중	예수님이 제자들에게 주시는 선물로 '세상이 주는 것과 같지 않은 것'은? 1)재물 2)평안 3)명예 4)치킨	2번	요 14:27
17	빈칸 채우기	하	나는 참 ( )요 내 아버지는 농부라	포도나무	요 15:1
18	OX 퀴즈	하	포도나무 가지가 열매를 맺으려면 나무에 붙어 있어야만 한다.	O	요 15:4
19	초성 퀴즈	하	"너희가 (ㅇㅁ)를 많이 맺으면 내 아버지께서 영광을 받으실 것이요"	열매	요 15:8
20	주관식	상	사람이 친구를 위하여 이것을 버리면 이보다 더 큰 사랑이 없다고 하셨습니다. 무엇일까요?	목숨	요 15:13
21	객관식	중	예수님은 이제 제자들을 '종'이라 부르지 않고 무엇이라 부르겠다고 하셨나요? 1)동생 2)친구 3)부하 4)자녀	2번	요 15:15
22	초성 퀴즈	중	"세상에서는 너희가 환난을 당하나 (ㄷㄷㅎㄹ) 내가 세상을 이기었노라"	담대하라	요 16:33
23	빈칸 채우기	상	( )은 곧 유일하신 참 하나님과 그가 보내신 자 예수 그리스도를 아는 것이니이다	영생	요 17:3
24	주관식	하	예수님이 겟세마네 동산에서 잡히실 때, 베드로가 칼을 휘둘러 귀를 자른 사람의 이름은?	말고	요 18:10
25	OX 퀴즈	중	예수님을 재판했던 로마 총독의 이름은 '빌라도'이다.	O	요 18:29
26	초성 퀴즈	상	빌라도가 예수님을 대신하여 놓아주려 했던 강도의 이름은? (ㅂㄹㅂ)	바라바	요 18:40
27	객관식	하	군인들이 예수님을 조롱하며 머리에 씌운 것은? 1)금관 2)화환 3)가시관 4)모자	3번	요 19:2
28	주관식	중	예수님이 십자가를 지고 가신 곳으로, '해골'이라는 뜻을 가진 곳은 어디인가요?	골고다 (또는 갈보리)	요 19:17
29	빈칸 채우기	하	예수님이 십자가에서 숨을 거두시기 직전 하신 말씀: "다 ( )"	이루었다	요 19:30
30	주관식	상	예수님의 장례를 위해 빌라도에게 시신을 요구한 '아리마대 사람'의 이름은?	요셉	요 19:38
31	OX 퀴즈	하	예수님의 무덤에 가장 먼저 달려간 여자는 막달라 마리아이다.	O	요 20:1
32	초성 퀴즈	중	부활하신 예수님이 제자들에게 나타나 처음 하신 축복의 말: "(ㅍㄱ)이 있을지어다"	평강	요 20:19
33	객관식	중	부활하신 예수님의 손과 옆구리를 직접 보고서야 믿겠다고 했던 제자는? 1)베드로 2)도마 3)요한 4)유다	2번	요 20:25
34	빈칸 채우기	하	도마가 부활하신 예수님을 보고 고백한 말: "나의 주님이시요 나의 ( )이시니이다"	하나님	요 20:28
35	OX 퀴즈	하	예수님은 고기를 잡으러 간 제자들에게 배 '왼편'에 그물을 던지라고 하셨다.	X (오른편)	요 21:6
36	주관식	중	베드로가 예수님의 말씀대로 그물을 던졌을 때 잡힌 물고기의 숫자는 몇 마리인가요?	153마리	요 21:11
37	초성 퀴즈	하	예수님이 베드로에게 물으셨습니다. "요한의 아들 시몬아 네가 나를 (ㅅㄹ)하느냐?"	사랑	요 21:15
38	객관식	중	예수님이 사랑을 확인하신 후 베드로에게 주신 사명은? 1)성전을 지어라 2)내 양을 먹이라 3)로마를 이겨라 4)집에 가라	2번	요 21:17
39	빈칸 채우기	상	세 번째 "나를 사랑하느냐"는 질문을 받으신 후, 베드로가 근심하며 대답한 고백은? "주님 ( )을 아시오매 내가 주님을 사랑하는 줄을 주님께서 아시나이다"	모든 것	요 21:17
40	빈칸 채우기	상	예수께서 행하신 일이 이 외에도 많으니 ( ) 기록된다면 이 세상이라도 이 책을 두기에 부족할 줄 아노라	낱낱이	요 21:25
